Network DDoS Simulation Results
Timestamp,2025-10-23_17-39-17
Simulation Duration,900s
Number of Servers,5
Processing Power,180 req/sec
Queue Size,300
Legitimate Clients,400
Malicious Clients,80
Legitimate Traffic Rate,2 req/sec
Malicious Traffic Rate,15 req/sec
Request Timeout,3s
Server Timeout,2s

Final Simulation Results
Total Generated Requests,1799520
Total Served Requests,425314
Total Dropped - Queue Full,1489
Total Dropped - Timeout,20471
Total Dropped - High Load,13064
Total Dropped - No Server,1339182
Overall Success Rate,23.63%
Overall Drop Rate,76.37%

Probability Analysis
Bandwidth Exhaustion,100.00%
Resource Depletion,81.22%
Successful Attack,77.35%
Total Processing Capacity,900 req/sec
Capacity Threshold,720 req/sec

Per-Server Breakdown
Server ID,Total Requests Received,Total Requests Processed,Success Rate,Acceptance Rate,Processing Rate,Drops Queue Full,Drops Queue Full Rate,Drops Timeout,Drops Timeout Rate,Drops High Load,Drops High Load Rate,Total Drops,Total Drop Rate,Max CPU Utilization,Avg CPU Utilization,Max Queue Utilization,Avg Queue Utilization,Max Queue Length,Avg Queue Length,Min Health Score,Avg Health Score,Time Spent Offline,Offline Percentage
NetworkServer0,92431,85200,92.18%,100.00%,94.7 req/sec,299,0.32%,4276,4.63%,2656,2.87%,7231,7.82%,100.0%,80.9%,100.0%,49.1%,300,147.4,0.000,0.376,2.1s,0.2%
NetworkServer1,92331,85631,92.74%,100.00%,95.1 req/sec,301,0.33%,3823,4.14%,2576,2.79%,6700,7.26%,100.0%,75.8%,96.3%,43.6%,289,130.9,0.000,0.430,2.6s,0.3%
NetworkServer2,91685,84845,92.54%,100.00%,94.3 req/sec,299,0.33%,3873,4.22%,2668,2.91%,6840,7.46%,100.0%,78.2%,100.0%,47.4%,300,142.3,0.000,0.397,3.7s,0.4%
NetworkServer3,93092,85638,91.99%,100.00%,95.2 req/sec,300,0.32%,4446,4.78%,2708,2.91%,7454,8.01%,100.0%,80.1%,100.0%,47.9%,300,143.7,0.000,0.387,2.7s,0.3%
NetworkServer4,90799,84000,92.51%,100.00%,93.3 req/sec,290,0.32%,4053,4.46%,2456,2.70%,6799,7.49%,100.0%,80.4%,100.0%,46.8%,300,140.5,0.000,0.392,3.7s,0.4%

Total Simulation Time-Series Data
Timestamp,Total Generated,Total Served,Drops Queue Full,Drops Timeout,Drops High Load,Drops No Server,Success Rate,Drop Rate,Legit Sent,Legit Success,Legit No Response,Legit Success Rate,Legit Drop Rate,Botnet Sent,Botnet Success,Botnet No Response,Botnet Success Rate,Botnet Drop Rate,Bandwidth Exhaustion Prob,Resource Depletion Prob,Successful Attack Prob,Avg CPU Utilization,Avg Queue Utilization,Avg Health Score
200,399600,93672,324,4294,2783,298072,0.2344144144144144,0.7644469469469469,159600,31257,126502,0.19584586466165413,0.7926190476190477,240000,62415,175864,0.2600625,0.7327666666666667,1.0,0.8041541353383459,0.769593100398054,60.00%,26.33%,0.602
205,409600,95851,333,4381,2866,305483,0.23401123046875,0.76431396484375,163600,31568,130234,0.19295843520782396,0.7960513447432763,246000,64283,179630,0.2613130081300813,0.7302032520325203,1.0,0.807041564792176,0.7729900762260894,80.00%,40.40%,0.438
210,419600,98166,341,4508,2946,312721,0.23395138226882745,0.763860819828408,167600,32200,133434,0.19212410501193317,0.796145584725537,252000,65966,183795,0.26176984126984126,0.7293452380952381,1.0,0.8078758949880669,0.7739716411624314,100.00%,54.53%,0.273
215,429600,100901,350,4574,3051,319912,0.2348719739292365,0.763237895716946,171600,33068,136527,0.1927039627039627,0.7956118881118881,258000,67833,187959,0.2629186046511628,0.7285232558139535,1.0,0.8072960372960373,0.7732894556423968,80.00%,48.80%,0.387
220,439600,102756,357,4785,3111,327761,0.2337488626023658,0.7643630573248408,175600,33191,140044,0.18901480637813212,0.7975170842824602,264000,69565,192502,0.26350378787878787,0.7291742424242424,1.0,0.8109851936218679,0.7776296395551386,87.00%,49.53%,0.355
225,449600,105188,365,4837,3199,335045,0.23395907473309607,0.7638923487544484,179600,34200,143316,0.19042316258351893,0.7979732739420935,270000,70988,196566,0.2629185185185185,0.7280222222222222,1.0,0.8095768374164811,0.7759727499017424,100.00%,57.73%,0.254
230,459600,107621,374,4893,3278,342628,0.23416231505657092,0.7640839860748477,183600,34840,146314,0.189760348583878,0.7969172113289761,276000,72781,201207,0.26369927536231885,0.7290108695652174,1.0,0.810239651416122,0.7767525310777905,87.00%,47.93%,0.364
235,469600,109970,382,4985,3364,350235,0.23417802385008518,0.7644080068143101,187600,35530,149769,0.18939232409381662,0.7983422174840086,282000,74440,205451,0.26397163120567374,0.7285496453900709,1.0,0.8106076759061833,0.7771855010660982,80.00%,38.93%,0.446
240,479600,112329,391,5066,3441,356990,0.2342139282735613,0.7629024186822352,191600,36256,152845,0.18922755741127348,0.7977296450939457,288000,76073,209211,0.2641423611111111,0.7264270833333333,1.0,0.8107724425887265,0.7773793442220311,100.00%,85.53%,0.087
245,489600,114585,397,5240,3506,365152,0.23403799019607843,0.7644914215686275,195600,36765,156304,0.1879601226993865,0.7991002044989775,294000,77820,214088,0.2646938775510204,0.7281904761904762,1.0,0.8120398773006134,0.7788704438830748,80.00%,42.67%,0.424
